˛ˇindex,Musician,Date,Time,Link,Artists,M,F
0,Richie Vitale Quintet,25-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24965-richie-vitale-quintet/,"Richie Vitale / Trumpet,Frank Basile / Baritone Sax,Steve Ash / Piano,Caleb  Tobocman / Bass,Clifford Barbaro / Drums",,
1,"Jamile, Steve Wilson & Yotam Silberstein",25-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24964-jamile-steve-wilson-yotam-silberstein/,"Jamile   / Vocalist,Steve Wilson / Alto Sax,Yotam Silberstein / Guitar",,
2,Dan Aran Quartet & Jam Session,25-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/24967-dan-aran-quartet-jam-session/,"Dan Aran / Drums,Wayne Tucker / Trumpet,Miki Yamanaka / Piano,Joseph Lepore / Bass",,
3,Naama Gheber polite jam session,25-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/24966-naama-gheber-polite-jam-session/,"Naama . / Vocalist,Leandro Pellegrino / Guitar,Dave Baron / Bass",,
4,Russell Hall Quartet,26-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24973-russell-hall-quartet/,"Russell Hall / Bass,Mike  Troy / Alto Sax,Leo  Larrett / Guitar,Lesley Mok / Drums",,
5,"Alan Broadbent, Harvie S & Billy Mintz",26-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24968-alan-broadbent-harvie-s-billy-mintz/,"Alan Broadbent / Piano,Harvie S / Bass,Billy Mintz / Drums",,
6,MIKI YAMANAKA TRIO & Jam Session,26-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/25113-miki-yamanaka-trio-jam-session/,"Miki Yamanaka / Piano,Harish Raghavan / Bass,Jimmy Macbride / Drums",,
7,"Pasquale Grasso, Ben Meigners  & Keith Balla",26-Dec-22,10:30 PM & 12:00 AM,https://www.smallslive.com/events/25097-pasquale-grasso-ben-meigners-keith-balla/,"Pasquale Grasso / Guitar,Ben Meigners / Bass,Keith Balla / Drums",,
8,Frank Lacy Quartet,27-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24970-frank-lacy-quartet/,Frank Lacy / Trombone,,
9,"Freddie Bryant, Tarik Shah & Jimmy Madison",27-Dec-22,7:30 PM & 9:00 PM,https://www.smallslive.com/events/24969-freddie-bryant-tarik-shah-jimmy-madison/,"Freddie Bryant / Guitar,Tarik Shah / Bass,Jimmy Madison / Drums",,
